exercise,main,sub
Overhead Press (Dumbbell),Shoulder,Triceps
Overhead Press (Smith Machine),Shoulder,Triceps
Overhead Squat (Barbell),Allbody,
Paused Bench Press (Barbell),Chest,Triceps
Paused Deadlift (Barbell),Hamstring,Lower Back
Paused Row (Barbell),Lat,Traps
Paused Squat (Barbell),Quads,Quads
Pec Deck (Machine),Chest,
Pendlay Row (Barbell),Lat,Traps
Pistol Squat,Quads,Glute
Plank,Core,
Power Clean,Allbody,
Power Snatch (Barbell),Allbody,
Preacher Curl (Barbell),Biceps,
Preacher Curl (Dumbbell),Biceps,
Preacher Curl (Machine),Biceps,
Press Under (Barbell),Shoulder,Triceps
Press Around (Cable),Chest,
Pull Up,Lat,Traps
Pull Up (Assisted),Lat,Traps
Pull Up (Negative),Lat,Traps
Pull Up Routine,Lat,Traps
Pullover (Dumbbell),Lat,
Pullover (Machine),Lat,
Push Press,Shoulder,Triceps
Push Up,Chest,Triceps
Push Up (Band),Chest,Triceps
Push Up (Knees),Chest,Triceps
Rack Pull (Barbell),Hamstring,Glute
Reverse Crunch,Core,
Reverse Curl (Band),Biceps,Forearm
Reverse Curl (Dumbbell),Biceps,Forearm
Reverse Fly (Cable),Shoulder,Traps
Reverse Fly (Dumbbell),Shoulder,Traps
Reverse Fly (Machine),Shoulder,Traps
Reverse Grip Concentration Curl (Dumbbell),Forearm,Biceps
Reverse Plank,Core,
Romanian Deadlift (Barbell),Hamstring,Lower Back
Romanian Deadlift (Dumbbell),Hamstring,Lower Back
Rowing (Machine),Cardio,
Running,Cardio,
Running (Threadmill),Cardio,
Russian Twist,Core,
Seated Calf Raise (Machine),Calf,
Seated Calf Raise (Plate Loaded),Calf,
Seated Leg Curl (Machine),Hamstring,
Seated Leg Press (Machine),Quads,Glute
Seated One Arm Row (Cable),Lat,
Seated Overhead Press (Barbell),Shoulder,Triceps
Seated Overhead Press (Dumbbell),Shoulder,Triceps
Seated Overhead Press (Smith Machine),Shoulder,Triceps
Seated Palms Up Wrist Curl (Dumbbell),Forearm,
Seated Row (Cable),Lat,Traps
Seated Row (Machine),Lat,Traps
Seated Wide-Grip Row (Cable),Traps,Lat
Shoulder Press (Machine),Shoulder,
Shoulder Press (Plate Loaded),Shoulder,
Shrug (Barbell),Traps,
Shrug (Cable),Traps,
Shrug (Dumbbell),Traps,
Shrug (Machine),Traps,
Shrug (Smith Machine),Traps,
Side Band (Band),Core,
Side Band (Cable),Core,
Side Bend (Dumbbell),Core,
Side Plank,Core,
Single Leg Bridge,Glute,Hamstring
Single Reverse Fly (Cable),Shoulder,
Sit Up,Core,
Skullcrusher (Barbell),Triceps,
Skullcrusher (Dumbbell),Triceps,
Snatch (Barbell),Allbody,
Snatch Pull (Barbell),Allbody,
Split Jerk (Barbell),Allbody,
Squat (Band),Quads,Glute
Squat (Barbell),Quads,Glute
Squat (Bodyweight),Quads,Glute
Squat (Dumbbell),Quads,Glute
Squat (Machine),Quads,Glute
Squat (Smith Machine),Quads,Glute
Squat Row (Band),Quads,Lat
Standing Calf Raise (Barbell),Calf,
Standing Calf Raise (Bodyweight),Calf,
Standing Calf Raise (Dumbbell),Calf,
Standing Calf Raise (Machine),Calf,
Standing Calf Raise (Smith Machine),Calf,
Step-up,Glute,Quads
Stiff Leg Deadlift (Barbell),Hamstring,Lower Back
Stiff Leg Deadlift (Dumbbell),Hamstring,Lower Back
Straight Arm Pulldown,Lat,
Straight Leg Deadlift (Bend),Hamstring,Lower Back
Strict Military Press (Barbell),Shoulder,
Sumo Deadlift (Barbell),Glute,Adductor
Sumo Deadlift High Pull (Barbell),Allbody,
Superman,Lower Back,
Swimming,Cardio,
T Bar Row,Lat,Traps
Thruster (Bar),Quads,Shoulder
Thruster (Kettlebell),Quads,Shoulder
Toe touch,Core,
Toes To Bar,Core,
Torso Rotation (Machine),Core,
Trap Bar Deadlift,Quads,Glute
Triceps Dip,Triceps,Chest
Triceps Dip (Assisted),Triceps,Chest
Triceps Extension,Triceps,
Triceps Extension (Barbell),Triceps,
Triceps Extension (Cable),Triceps,
Triceps Extension (Dumbbell),Triceps,
Triceps Extension (Machine),Triceps,
Triceps Pushdown (Cable - Straight Bar),Triceps,
Upright Row (Barbell),Traps,Shoulder
Upright Row (Cable),Traps,Shoulder
Upright Row (Dumbbell),Traps,Shoulder
V Up,Core,
Walking,Cardio,
Walking Lunge,Glute,Quads
Wide Pull Up,Lat,
Windmill (Kettlebell),Core,
Wrist Roller,Forearm,
Zercher Squat (Barbell),Quads,Glute
