2026-03-02,89,0
2026-03-03,83,0
2026-03-04,86,0
2026-03-05,82,0
2026-03-06,97,0
2026-03-07,94,0
2026-03-09,86,0
2026-03-10,94,0
2026-03-11,98,0
2026-03-12,94,0
2026-03-13,91,0
2026-03-14,90,0
2026-03-16,90,0
2026-03-17,88,0
2026-03-18,103,0
2026-03-19,90,0
2026-03-20,99,0
2026-03-21,96,0
2026-03-23,101,0
2026-03-24,93,0
2026-03-25,91,0
2026-03-26,80,0
2026-03-27,101,0
2026-03-28,82,0
2026-03-31,73,0
2026-04-01,68,0
2026-04-02,88,0
2026-04-03,63,0
2026-04-04,106,0
2026-04-06,51,0
2026-04-07,77,0
2026-04-08,76,0
2026-04-09,76,0
2026-04-10,78,0
2026-04-11,70,0
2026-04-13,63,0
2026-04-14,73,0
2026-04-15,86,0
2026-04-16,81,0
2026-04-17,84,0
2026-04-18,92,0
2026-04-26,82,0
2026-04-27,86,0
2026-04-28,76,0
2026-04-29,81,0
2026-04-30,85,0
2026-05-01,81,0
2026-05-02,0,38
2026-05-05,102,0
2026-05-06,93,0
2026-05-07,106,0
2026-05-11,77,0
2026-05-12,85,0
2026-05-13,83,0
2026-05-14,76,0
2026-05-15,81,0
2026-05-16,100,0
2026-05-18,89,0
2026-05-19,94,0
2026-05-20,80,0
2026-05-21,81,0
2026-05-22,95,0
2026-05-23,78,0
2026-05-25,38,0
2026-05-26,92,0
2026-05-27,66,0
2026-05-28,57,0
2026-05-29,88,0
2026-05-30,75,0
2026-06-01,56,0
2026-06-02,67,0
2026-06-03,66,0
2026-06-04,83,0
2026-06-05,81,0
2026-06-07,0,20
2026-06-12,83,19
